timestamp,sessionID,datetime,type,imei,status,band,mcc,mnc,pci,rsrp,rsrq,asu,rssnr,ta,cqi,ci,lat,lon,alt,acc,speed,speed_acc
1687179778933,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:02:59.988Z,LTE,355017071801794,2147483647,100,262,2,237,-103,-8,37,9,7,14,7733267,51.3275751,12.3359945,162.29998779296875,7.713,0.5046384,2.14748365E9,
1687179781027,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:03:01.028Z,LTE,355017071801794,2147483647,100,262,2,237,-113,-10,27,4,7,8,7733267,51.3275726,12.3360156,162.29998779296875,7.909,0.53015083,2.14748365E9,
1687180926760,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:07.861Z,LTE,355017071801794,2147483647,100,262,2,155,-102,-7,38,10,2,2,8336405,51.3207153,12.3421696,155.0,6.47,0.28122982,2.14748365E9,
1687180926760,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:07.861Z,LTE,355017071801794,2147483647,100,0,0,154,-108,-13,32,0,0,0,0,51.3207153,12.3421696,155.0,6.47,0.28122982,2.14748365E9,
1687180926761,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:07.861Z,LTE,355017071801794,2147483647,1801,0,0,169,-106,-7,34,0,0,0,0,51.3207153,12.3421696,155.0,6.47,0.28122982,2.14748365E9,
1687180926761,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:07.861Z,LTE,355017071801794,2147483647,2850,0,0,141,-109,-7,31,0,0,0,0,51.3207153,12.3421696,155.0,6.47,0.28122982,2.14748365E9,
1687180928965,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:10.044Z,LTE,355017071801794,2147483647,100,262,2,155,-101,-7,39,9,3,14,8336405,51.3207166,12.3421721,155.0,6.377,0.20935963,2.14748365E9,
1687180928965,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:10.044Z,LTE,355017071801794,2147483647,100,0,0,154,-107,-14,33,0,0,0,0,51.3207166,12.3421721,155.0,6.377,0.20935963,2.14748365E9,
1687180928965,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:10.044Z,LTE,355017071801794,2147483647,100,0,0,433,-107,-15,33,0,0,0,0,51.3207166,12.3421721,155.0,6.377,0.20935963,2.14748365E9,
1687180931136,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:12.209Z,LTE,355017071801794,2147483647,100,262,2,155,-107,-8,33,8,3,11,8336405,51.3207198,12.3421786,155.0,6.575,0.24568254,2.14748365E9,
