uid,pci,starttime,endtime,duration
0,237,13:02:1687172578,13:03:1687172581,2094
1,155,13:22:1687173726,13:22:1687173726,0
2,154,13:22:1687173726,13:22:1687173726,0
3,169,13:22:1687173726,13:22:1687173726,0
4,141,13:22:1687173726,13:22:1687173726,0
5,155,13:22:1687173728,13:22:1687173728,0
6,154,13:22:1687173728,13:22:1687173728,0
7,433,13:22:1687173728,13:22:1687173728,0
8,155,13:22:1687173731,13:22:1687173737,6552
9,433,13:22:1687173737,13:22:1687173737,0
10,155,13:22:1687173737,13:22:1687173737,0
11,433,13:22:1687173737,13:22:1687173737,0
12,155,13:22:1687173739,13:22:1687173739,0
13,433,13:22:1687173739,13:22:1687173739,0
14,155,13:22:1687173741,13:22:1687173744,2210
15,154,13:22:1687173744,13:22:1687173744,0
16,155,13:22:1687173746,13:22:1687173746,0
17,433,13:22:1687173746,13:22:1687173746,0
18,155,13:22:1687173748,13:22:1687173748,0
19,433,13:22:1687173750,13:22:1687173750,-1
20,155,13:22:1687173750,13:22:1687173750,0
21,369,13:22:1687173750,13:22:1687173750,0
22,433,13:22:1687173752,13:22:1687173752,0
23,155,13:22:1687173752,13:22:1687173752,0
24,369,13:22:1687173752,13:22:1687173752,0
25,433,13:22:1687173754,13:22:1687173754,0
26,155,13:22:1687173754,13:22:1687173754,0
27,369,13:22:1687173754,13:22:1687173754,0
28,433,13:22:1687173754,13:22:1687173754,0
29,155,13:22:1687173754,13:22:1687173754,0
30,369,13:22:1687173754,13:22:1687173754,0
31,433,13:22:1687173756,13:22:1687173756,0
32,155,13:22:1687173756,13:22:1687173756,0
33,369,13:22:1687173756,13:22:1687173756,0
34,155,13:22:1687173758,13:22:1687173758,0
35,433,13:22:1687173758,13:22:1687173758,0
36,155,13:22:1687173758,13:22:1687173758,0
37,369,13:22:1687173758,13:22:1687173758,0
38,433,13:22:1687173760,13:22:1687173760,0
39,155,13:22:1687173760,13:22:1687173760,0
40,369,13:22:1687173760,13:22:1687173760,0
41,155,13:22:1687173763,13:22:1687173763,0
42,369,13:22:1687173763,13:22:1687173763,0
43,370,13:22:1687173763,13:22:1687173763,0
44,433,13:22:1687173763,13:22:1687173763,0
45,155,13:22:1687173763,13:22:1687173763,0
46,369,13:22:1687173763,13:22:1687173763,0
47,370,13:22:1687173763,13:22:1687173763,0
48,433,13:22:1687173765,13:22:1687173765,0
49,155,13:22:1687173765,13:22:1687173765,0
50,369,13:22:1687173765,13:22:1687173765,0
51,370,13:22:1687173765,13:22:1687173765,0
52,433,13:22:1687173765,13:22:1687173765,0
53,155,13:22:1687173765,13:22:1687173765,0
54,369,13:22:1687173765,13:22:1687173765,0
55,370,13:22:1687173765,13:22:1687173765,0
56,155,13:22:1687173767,13:22:1687173767,0
57,369,13:22:1687173767,13:22:1687173767,0
58,433,13:22:1687173767,13:22:1687173767,0
59,155,13:22:1687173767,13:22:1687173767,0
60,369,13:22:1687173767,13:22:1687173767,0
61,433,13:22:1687173769,13:22:1687173769,0
62,155,13:22:1687173769,13:22:1687173769,0
63,369,13:22:1687173769,13:22:1687173769,0
64,155,13:22:1687173771,13:22:1687173771,1
65,154,13:22:1687173771,13:22:1687173771,0
66,155,13:22:1687173773,13:22:1687173773,0
67,433,13:22:1687173773,13:22:1687173773,0
68,154,13:22:1687173773,13:22:1687173773,0
69,155,13:22:1687173775,13:22:1687173775,0
70,433,13:22:1687173775,13:22:1687173775,0
71,154,13:22:1687173775,13:22:1687173775,0
72,155,13:22:1687173778,13:23:1687173780,2077
73,433,13:23:1687173780,13:23:1687173780,0
74,155,13:23:1687173780,13:23:1687173780,0
75,369,13:23:1687173780,13:23:1687173780,0
76,433,13:23:1687173782,13:23:1687173782,0
77,369,13:23:1687173782,13:23:1687173782,0
78,433,13:23:1687173782,13:23:1687173782,0
79,369,13:23:1687173782,13:23:1687173782,0
80,370,13:23:1687173782,13:23:1687173782,0
81,155,13:23:1687173784,13:23:1687173784,0
82,433,13:23:1687173784,13:23:1687173784,0
83,155,13:23:1687173784,13:23:1687173784,0
84,369,13:23:1687173784,13:23:1687173786,2146
85,433,13:23:1687173786,13:23:1687173786,0
86,369,13:23:1687173786,13:23:1687173786,0
87,370,13:23:1687173786,13:23:1687173786,0
88,433,13:23:1687173788,13:23:1687173788,0
89,155,13:23:1687173788,13:23:1687173788,0
90,369,13:23:1687173788,13:23:1687173788,0
91,433,13:23:1687173790,13:23:1687173790,0
92,155,13:23:1687173790,13:23:1687173790,0
93,369,13:23:1687173790,13:23:1687173790,0
94,433,13:23:1687173792,13:23:1687173792,0
95,155,13:23:1687173792,13:23:1687173792,0
96,369,13:23:1687173792,13:23:1687173792,0
97,433,13:23:1687173795,13:23:1687173795,0
98,369,13:23:1687173795,13:23:1687173795,0
99,433,13:23:1687173797,13:23:1687173797,1
100,369,13:23:1687173797,13:23:1687173797,0
101,433,13:23:1687173799,13:23:1687173799,0
102,155,13:23:1687173799,13:23:1687173799,0
103,433,13:23:1687173799,13:23:1687173799,0
104,237,13:23:1687173799,13:23:1687173799,0
105,155,13:23:1687173799,13:23:1687173799,0
106,369,13:23:1687173799,13:23:1687173799,0
107,433,13:23:1687173801,13:23:1687173801,0
108,155,13:23:1687173801,13:23:1687173801,0
109,433,13:23:1687173803,13:23:1687173807,4075
